Timestamp;Symbol No 1;Symbol No 2;Symbol No 3;Symbol No 4
57900;27840;-13876;-13876;27752
58000;-13820;-13820;27640;-13836
58100;-13836;27672;-13824;-13824
58200;27648;-13864;-13864;27728
58300;-13800;-13800;27600;-13764
58400;-13764;27528;-13728;-13728
58500;27456;-13800;-13800;27600
58600;-13680;-13680;27360;-13664
58700;-13664;27328;-13684;-13684
58800;27368;-13584;-13584;27168
58900;-13620;-13620;27240;-13624
59000;-13624;27248;-13588;-13588
59100;27176;-13452;-13452;26904
59200;-13452;-13452;26904;-13440
59300;-13440;26880;-13368;-13368
59400;26736;-13376;-13376;26752
59500;-13324;-13324;26648;-13236
59600;-13236;26472;-13228;-13228
59700;26456;-13220;-13220;26440
59800;-13216;-13216;26432;-13100
59900;-13100;26200;-13128;-13128
60000;26256;-13084;-13084;26168
60100;-13072;-13072;26144;-12940
60200;-12940;25880;-12964;-12964
60300;25928;-12900;-12900;25800
60400;-12828;-12828;25656;-12860
60500;-12860;25720;-12872;-12872
60600;25744;-12756;-12756;25512
60700;-12772;-12772;25544;-12772
60800;-12772;25544;-12752;-12752
60900;25504;-12684;-12684;25368
61000;-12644;-12644;25288;-12632
61100;-12632;25264;-12524;-12524
61200;25048;-12548;-12548;25096
61300;-12400;-12400;24800;-12368
61400;-12368;24736;-12348;-12348
61500;24696;-12328;-12328;24656
61600;-12280;-12280;24560;-12208
61700;-12208;24416;-12216;-12216
61800;24432;-12168;-12168;24336
61900;-12076;-12076;24152;-12108
62000;-12108;24216;-12116;-12116
62100;24232;-12148;-12148;24296
62200;-12096;-12096;24192;-12060
62300;-12060;24120;-12072;-12072
62400;24144;-11964;-11964;23928
62500;-12040;-12040;24080;-12036
62600;-12036;24072;-12048;-12048
62700;24096;-12048;-12048;24096
62800;-12008;-12008;24016;-12028
62900;-12028;24056;-12016;-12016
63000;24032;-11980;-11980;23960
63100;-12012;-12012;24024;-12012
63200;-12012;24024;-11976;-11976
63300;23952;-11988;-11988;23976
63400;-12012;-12012;24024;-12068
63500;-12068;24136;-12024;-12024
63600;24048;-12028;-12028;24056
63700;-12024;-12024;24048;-12000
63800;-12000;24000;-12020;-12020
63900;24040;-11996;-11996;23992
64000;-12020;-12020;24040;-12008
64100;-12008;24016;-12072;-12072
64200;24144;-12072;-12072;24144
64300;-12056;-12056;24112;-12000
64400;-12000;24000;-12032;-12032
64500;24064;-11996;-11996;23992
64600;-11924;-11924;23848;-12024
64700;-12024;24048;-11984;-11984
64800;23968;-12016;-12016;24032
64900;-11924;-11924;23848;-11932
65000;-11932;23864;-11964;-11964
65100;23928;-11976;-11976;23952
65200;-12024;-12024;24048;-11908
65300;-11908;23816;-11936;-11936
65400;23872;-11968;-11968;23936
65500;-11888;-11888;23776;-11988
65600;-11988;23976;-11888;-11888
65700;23776;-11932;-11932;23864
65800;-11956;-11956;23912;-11964
65900;-11964;23928;-11884;-11884
66000;23768;-11876;-11876;23752
66100;-11896;-11896;23792;-11856
66200;-11856;23712;-11836;-11836
66300;23672;-11856;-11856;23712
66400;-11872;-11872;23744;-11912
66500;-11912;23824;-11764;-11764
66600;23528;-11740;-11740;23480
66700;-11740;-11740;23480;-11708
66800;-11708;23416;-11696;-11696
66900;23392;-11752;-11752;23504
67000;-11680;-11680;23360;-11664
67100;-11664;23328;-11608;-11608
67200;23216;-11604;-11604;23208
67300;-11568;-11568;23136;-11608
67400;-11608;23216;-11556;-11556
67500;23112;-11580;-11580;23160
67600;-11528;-11528;23056;-11476
67700;-11476;22952;-11440;-11440
67800;22880;-11388;-11388;22776
67900;-11368;-11368;22736;-11376
68000;-11376;22752;-11272;-11272
68100;22544;-11180;-11180;22360
68200;-11224;-11224;22448;-11196
68300;-11196;22392;-11136;-11136
68400;22272;-11116;-11116;22232
68500;-11040;-11040;22080;-11008
68600;-11008;22016;-10984;-10984
68700;21968;-10956;-10956;21912
68800;-10872;-10872;21744;-10804
68900;-10804;21608;-10792;-10792
69000;21584;-10768;-10768;21536
69100;-10700;-10700;21400;-10696
69200;-10696;21392;-10604;-10604
69300;21208;-10540;-10540;21080
69400;-10520;-10520;21040;-10516
69500;-10516;21032;-10512;-10512
69600;21024;-10400;-10400;20800
69700;-10380;-10380;20760;-10304
69800;-10304;20608;-10248;-10248
69900;20496;-10272;-10272;20544
70000;-10212;-10212;20424;-10152
70100;-10152;20304;7664;7664
70200;-15328;6764;6764;-13528
70300;6180;6180;-12360;6036
70400;6036;-12072;5952;5952
70500;-11904;6040;6040;-12080
70600;5948;5948;-11896;6024
70700;6024;-12048;6052;6052
70800;-12104;6164;6164;-12328
70900;6124;6124;-12248;6188
71000;6188;-12376;6224;6224
71100;-12448;6280;6280;-12560
71200;6380;6380;-12760;6408
71300;6408;-12816;6512;6512
71400;-13024;6484;6484;-12968
71500;6572;6572;-13144;6572
71600;6572;-13144;6648;6648
71700;-13296;6696;6696;-13392
71800;6832;6832;-13664;6784
71900;6784;-13568;6844;6844
72000;-13688;6860;6860;-13720
72100;7028;7028;-14056;7064
72200;7064;-14128;7040;7040
72300;-14080;7196;7196;-14392
72400;7220;7220;-14440;7328
72500;7328;-14656;7448;7448
72600;-14896;7432;7432;-14864
72700;7572;7572;-15144;7664
72800;7664;-15328;7636;7636
72900;-15272;7680;7680;-15360
73000;7656;7656;-15312;7192
73100;7192;-14384;7836;7836
73200;-15672;7896;7896;-15792
73300;7920;7920;-15840;8040
73400;8040;-16080;8116;8116
73500;-16232;8200;8200;-16400
73600;8268;8268;-16536;8344
73700;8344;-16688;8404;8404
73800;-16808;8500;8500;-17000
73900;8520;8520;-17040;8644
74000;8644;-17288;8652;8652
74100;-17304;8740;8740;-17480
74200;8860;8860;-17720;8756
74300;8756;-17512;8852;8852
74400;-17704;8856;8856;-17712
74500;8900;8900;-17800;8928
74600;8928;-17856;8852;8852
74700;-17704;8876;8876;-17752
74800;8712;8712;-17424;8824
74900;8824;-17648;8892;8892
75000;-17784;8840;8840;-17680
75100;8868;8868;-17736;8840
75200;8840;-17680;8804;8804
75300;-17608;8920;8920;-17840
75400;8848;8848;-17696;8900
75500;8900;-17800;8860;8860
75600;-17720;8892;8892;-17784
75700;8804;8804;-17608;8936
75800;8936;-17872;8916;8916
75900;-17832;8860;8860;-17720
76000;8924;8924;-17848;8848
76100;8848;-17696;8936;8936
76200;-17872;8868;8868;-17736
76300;8868;8868;-17736;8892
76400;8892;-17784;8756;8756
76500;-17512;8908;8908;-17816
76600;8936;8936;-17872;8936
76700;8936;-17872;8908;8908
76800;-17816;8924;8924;-17848
76900;8884;8884;-17768;8888
77000;8888;-17776;8948;8948
77100;-17896;9016;9016;-18032
77200;9028;9028;-18056;8892
77300;8892;-17784;8980;8980
77400;-17960;9004;9004;-18008
77500;8916;8916;-17832;8956
77600;8956;-17912;8920;8920
77700;-17840;8924;8924;-17848
77800;8968;8968;-17936;8996
77900;8996;-17992;9024;9024
78000;-18048;8996;8996;-17992
78100;8988;8988;-17976;9080
78200;9080;-18160;9096;9096
78300;-18192;9100;9100;-18200
78400;9128;9128;-18256;9172
78500;9172;-18344;9136;9136
78600;-18272;9232;9232;-18464
78700;9276;9276;-18552;9160
78800;9160;-18320;9256;9256
78900;-18512;9412;9412;-18824
79000;9508;9508;-19016;9596
79100;9596;-19192;9584;9584
79200;-19168;9644;9644;-19288
79300;9732;9732;-19464;9716
79400;9716;-19432;9788;9788
79500;-19576;9892;9892;-19784
79600;9920;9920;-19840;9928
79700;9928;-19856;9928;9928
79800;-19856;10012;10012;-20024
79900;9964;9964;-19928;10168
80000;10168;-20336;10108;10108
80100;-20216;10180;10180;-20360
80200;10212;10212;-20424;10352
80300;10352;-20704;10316;10316
80400;-20632;10324;10324;-20648
80500;10404;10404;-20808;10472
80600;10472;-20944;10488;10488
80700;-20976;10672;10672;-21344
80800;10556;10556;-21112;10708
80900;10708;-21416;10632;10632
81000;-21264;10804;10804;-21608
81100;10748;10748;-21496;10748
81200;10748;-21496;10884;10884
81300;-21768;10868;10868;-21736
81400;10924;10924;-21848;10984
81500;10984;-21968;11104;11104
81600;-22208;11032;11032;-22064
81700;11104;11104;-22208;11204
81800;11204;-22408;11268;11268
81900;-22536;11288;11288;-22576
82000;11308;11308;-22616;11296
82100;11296;-22592;11436;11436
82200;-22872;11472;11472;-22944
82300;11420;11420;-22840;11564
82400;11564;-23128;11584;11584
82500;-23168;11700;11700;-23400
82600;11680;11680;-23360;11740
82700;11740;-23480;11828;11828
82800;-23656;11900;11900;-23800
82900;11956;11956;-23912;11924
83000;11924;-23848;11992;11992
83100;-23984;12088;12088;-24176
